Personnummer,iban
400118-5901,SE8902EPWK73250364544965
400118-5901,SE8902IDSK51225196610969
391117-9285,SE8902OGIV86383792142837
391117-9285,SE8902QZEZ52320024971424
981215-7254,SE8902DWZI85436013187521
981215-7254,SE8902UJGR36411837401781
981215-7254,SE8902VAPD72818464374400
981215-7254,SE8902VEIB72029945509184
981215-7254,SE8902CHSI75448480838708
960709-2138,SE8902XPHQ15953762308017
960709-2138,SE8902VBHN50052224387585
480306-8115,SE8902URSS59260219235990
940125-0585,SE8902IQRO13056391101908
410710-9094,SE8902GXLB05514229654020
410710-9094,SE8902KWAF90270853352878
410710-9094,SE8902MLNA56994057710583
410710-9094,SE8902JIJC96071565969922
970509-1354,SE8902BWXT39949824641151
970509-1354,SE8902TKNC87869236455689
970509-1354,SE8902PSRJ65756431691707
460430-5393,SE8902SILE68578227700598
460430-5393,SE8902UTKP18439002370878
460430-5393,SE8902HQID54921038055598
050129-1702,SE8902CMWE25531271390672
650907-0865,SE8902ZWKL91581622045409
650907-0865,SE8902NHEC01255630352421
970320-1955,SE8902HRZI51889347255465
970320-1955,SE8902AVQC54172602808950
390120-3251,SE8902YHDH55973704252760
390120-3251,SE8902BABM26306156053804
390120-3251,SE8902UNAU13611272599268
870510-7632,SE8902ZJVA11817265425330
890713-4053,SE8902JFQL02168511886094
890713-4053,SE8902COVG23577172278709
890713-4053,SE8902HWHC81157429988113
410316-8359,SE8902IDYW61560887680926
540225-7553,SE8902VBXW33852287376238
020819-5933,SE8902TTDD62882365317340
000112-4718,SE8902JDLY63782567946635
000112-4718,SE8902PKJC56529381306922
860806-5499,SE8902PLTU47854504283727
551226-2535,SE8902QBPI92232356394837
551226-2535,SE8902NPMZ64718534936104
960812-8352,SE8902ERJA13877835143324
491206-5150,SE8902OKVE09579666832306
920430-0215,SE8902BPMW61406251979814
920430-0215,SE8902YLGE04073464233597
590612-4861,SE8902TCZL47145018856917
680414-8994,SE8902ZNRZ32368916134263
680414-8994,SE8902WSHS28438837480311
850328-3593,SE8902NDNE36671961231780
680912-5039,SE8902OLFT37200388827050
680912-5039,SE8902JQHT00463203687003
680912-5039,SE8902IIVG09252145366202
380518-3252,SE8902EYGF77551822415743
000615-6756,SE8902LVSQ11356198112962
690811-8372,SE8902YVWX44120455116841
690811-8372,SE8902DQWP79606697709694
690811-8372,SE8902XXCG81260198384509
040605-9147,SE8902UTYY22254486734176
970114-2821,SE8902UPQN50233742051449
950821-8626,SE8902EWZR85142291879165
000807-9626,SE8902KLMT84633622382072
000807-9626,SE8902DBWG37143242474670
411210-1656,SE8902MTEW80340871788369
411210-1656,SE8902WSLA24954889786348
411210-1656,SE8902VJHZ33855900402507
511005-5604,SE8902DZEM65843874009450
030603-7102,SE8902GFAS09862022036004
030603-7102,SE8902IWLJ80369151603079
980203-2699,SE8902AORR62231578413137
980203-2699,SE8902UOQA63786044169527
661104-6993,SE8902TJBO76009734317061
661104-6993,SE8902KIDF78947091109600
890522-1597,SE8902FUJI48043244293392
890522-1597,SE8902QPHE36884244476446
761115-2401,SE8902RQLR53927445231063
930408-3224,SE8902VATX29635590400151
490201-7484,SE8902MMZN38846965231738
700606-8501,SE8902DAYC14364335693782
700606-8501,SE8902FALW17606613401607
020207-5792,SE8902WZEL99650586037049
430330-6577,SE8902DRZG97085120488113
430330-6577,SE8902QJSX02120298481356
430330-6577,SE8902IMEB42197421849807
410918-5795,SE8902JXJJ56306612147768
410918-5795,SE8902AZMF62874749728667
750529-8526,SE8902TRVE47135720140849
630412-3000,SE8902KNBO14478747094323
630412-3000,SE8902PQTU50864263302777
031129-0464,SE8902YUYG10929263320035
031129-0464,SE8902LUTP25647153659821
560511-1326,SE8902ZDMU73833226690524
560511-1326,SE8902LFPB25372838213647
801116-3071,SE8902MJPO40977388006286
980130-3422,SE8902PLXR29095818137187
980130-3422,SE8902QIQI47434237190569
980122-7878,SE8902CRWQ10550122839130
610329-4028,SE8902PVRO74801343887399
540220-9521,SE8902KPIO16227949467449
901208-9356,SE8902OZOM23207181936410
901208-9356,SE8902NVPZ06971021222436
901208-9356,SE8902KLVA35234334264887
901104-3719,SE8902SNNM24012074185591
841210-2173,SE8902DRXY50176432565193
030417-5920,SE8902YMVD57211621327275
030417-5920,SE8902WRRU80784544437204
840921-6200,SE8902GAFL88123638280516
810113-7506,SE8902JPPD16064860435781
521117-6978,SE8902FSHA42297476809642
521117-6978,SE8902LWGY12400441776877
891106-8834,SE8902OYBW39299291170957
891101-6767,SE8902IJUF89235594362096
891101-6767,SE8902DPTT93032573974424
441112-0035,SE8902WJJF53894909945600
640113-3456,SE8902NZPO70353430427963
640113-3456,SE8902IMDH11855815032434
640113-3456,SE8902UITH42469834496346
990215-7727,SE8902QPGW46075376024266
680723-0690,SE8902LKXQ69920608322446
430815-3222,SE8902PCFD04141042982858
981103-6731,SE8902FAAO97542766702624
981103-6731,SE8902ONZU44479921442383
860309-0559,SE8902POYE56306553396402
900316-6783,SE8902IEHG40560196591529
620626-8408,SE8902BUFN52320844378385
671203-2561,SE8902VDAM04395711962652
431218-4601,SE8902EJLS77341060789288
431218-4601,SE8902POUN96279557917869
431218-4601,SE8902VYBF24172056441453
431218-4601,SE8902KKUH06675943754803
951215-6036,SE8902DSLW17149818922650
951215-6036,SE8902MQKC26955141529313
951215-6036,SE8902XNEE54146257506129
930323-2665,SE8902BXJC93392072105707
450531-4726,SE8902MZQD36471607948390
450531-4726,SE8902ZXBS27847759587560
450531-4726,SE8902CGGR69488718084568
450531-4726,SE8902LJOL22570334014589
050501-4027,SE8902PGCD42349227810447
521207-7944,SE8902NUWT16017828621340
050608-5364,SE8902EPQO36893099676290
490129-6196,SE8902MERM08934535145689
490129-6196,SE8902DCRG03419581347172
750324-2856,SE8902JWPZ44810854846338
540522-6134,SE8902KEUK66106098793775
540522-6134,SE8902WQDY35666811304216
540522-6134,SE8902IFAT25470340151750
460425-7487,SE8902CKLN78195298715336
950407-8487,SE8902OBIX76276487885565
910519-4634,SE8902VTXY24068790036789
960825-5072,SE8902EQDP30307774877765
960825-5072,SE8902YOEW30639718787528
960825-5072,SE8902CKBV64663475183727
910827-2437,SE8902WRAH16184147348462
910827-2437,SE8902BADP38378986803145
841022-4763,SE8902MEJF62740560811988
760413-8730,SE8902KQTT53706765844553
760413-8730,SE8902IGKY05275707479128
981014-7646,SE8902JXNJ08943900596647
681010-5228,SE8902ZJLO95363862694613
681010-5228,SE8902VJEF22408425695352
711020-3960,SE8902QRLT89568280421783
711020-3960,SE8902QLUT99208994499946
791118-2462,SE8902RCJB06422384154874
400328-6996,SE8902UYWH41914146129072
510617-0615,SE8902EBWI20739935052200
640413-8023,SE8902UUHR56831431647978
640413-8023,SE8902EQYQ41081582080415
710524-0449,SE8902SABF96781999798332
031014-0330,SE8902MOYL96215082468431
031014-0330,SE8902KSPR66432840199154
480629-0807,SE8902JWGD74194436561021
530404-5650,SE8902OQZB62959452894569
880504-5534,SE8902NSZV23305609626569
880504-5534,SE8902LDPN73303918695424
630813-9200,SE8902EQCK63728076800609
630813-9200,SE8902WSOG82520529247442
630813-9200,SE8902SRLL43477163490964
770314-1197,SE8902XCHA19919213751955
