account_iban,reason,amount,sender_country,receiver_country
SE8902MPBO87772633723937,outgoing,10977.56,,Sweden
SE8902NMLM36956633220058,incoming,30955.77,,Sweden
SE8902IWLJ80369151603079,outgoing,15551.69,,Sweden
SE8902JWPZ44810854846338,outgoing,46995.74,Sweden,
SE8902JFXZ40334167631989,outgoing,49040.75,Sweden,
SE8902OLFT37200388827050,incoming,15630.05,Sweden,
SE8902IIVG09252145366202,outgoing,32780.29,,Sweden
SE8902GZKC59110904284187,outgoing,29449.8,Sweden,
SE8902UFZY41218181108055,outgoing,43954.08,Sweden,
SE8902MKFC17006139746737,incoming,31230.62,,Sweden
SE8902WQDY35666811304216,incoming,23184.49,,Sweden
SE8902NZPO70353430427963,incoming,32501.61,,Sweden
SE8902BCGB09402639721004,incoming,41315.87,Sweden,
SE8902JDXF35466571430209,incoming,4228.12,,Sweden
SE8902KWSP63038857977275,outgoing,44563.7,Sweden,
SE8902QBFU77974903239810,incoming,8237.04,,Sweden
SE8902SUFL84984390436207,outgoing,4284.99,Sweden,
SE8902OJZV87378441905395,incoming,45998.09,Sweden,
SE8902BBBD92900838719471,outgoing,41940.41,Sweden,
SE8902ABOS54302823852209,incoming,9897.16,,Sweden
SE8902EMIT82352727650511,incoming,1912.85,,Sweden
SE8902FTIV24633690574571,outgoing,23051.47,,Sweden
SE8902GWOF13656646987338,outgoing,42828.59,Sweden,
SE8902NNNR28386574821422,outgoing,45254.46,Sweden,
SE8902LUTP25647153659821,incoming,36468.7,Sweden,
SE8902BWOT03489901672599,outgoing,6936.46,,Sweden
SE8902KFFN35109779680770,outgoing,3136.84,,Sweden
SE8902LACW59549122762926,incoming,21162.33,,Sweden
SE8902VYBF24172056441453,outgoing,16809.65,,Sweden
SE8902YERF08265652105112,outgoing,7771.23,Sweden,
SE8902LHWV91263359767569,incoming,7284.32,,Sweden
SE8902WOBG56284432759181,incoming,17736.52,,Sweden
SE8902FHHP30665400671103,incoming,6449.69,,Sweden
SE8902SLBZ46706062219762,outgoing,16206.96,Sweden,
SE8902XFEK65570601507823,outgoing,35621.16,,Sweden
SE8902CEKC27544305100945,incoming,14169.91,Sweden,
SE8902SRDG63581614639448,incoming,33536.22,Sweden,
SE8902YWZE35031868738690,outgoing,25601.36,Sweden,
SE8902RUZG18814542051536,incoming,7731.95,Sweden,
SE8902LKRM96767797463197,incoming,4513.79,Sweden,
SE8902DOFI01208990186376,outgoing,9834.61,,Sweden
SE8902WZEL99650586037049,outgoing,45309.15,,Sweden
SE8902FUXQ13611890616632,outgoing,32506.2,,Sweden
SE8902TTCV22659277900658,outgoing,12478.16,,Sweden
SE8902DWZI85436013187521,outgoing,3895.59,,Sweden
SE8902RPRH48981618994827,outgoing,39302.03,,Sweden
SE8902ASFC38684084271407,outgoing,16586.23,Sweden,
SE8902WOTL92806947118912,outgoing,4585.5,,Sweden
SE8902GZAO49226888899471,outgoing,25859.81,Sweden,
SE8902BADP38378986803145,outgoing,7785.48,Sweden,
SE8902OUYV90192199566077,incoming,6163.88,Sweden,
SE8902KNYL13525753615170,incoming,12740.39,,Sweden
SE8902JXAL47272008936438,outgoing,35351.36,Sweden,
SE8902RYXO33562941610360,outgoing,21958.14,,Sweden
SE8902RXQC04091454093931,incoming,20803.67,,Sweden
SE8902GWOF13656646987338,outgoing,19186.5,Sweden,
SE8902TJBO76009734317061,outgoing,4968.62,Sweden,
SE8902WSHS28438837480311,incoming,29235.01,Sweden,
SE8902KJYB05100798381483,incoming,26203.69,Sweden,
SE8902XFGN05965642065136,outgoing,18100.88,Sweden,
SE8902DSLW17149818922650,incoming,42798.91,,Sweden
SE8902FWHV93976568931219,incoming,35235.97,,Sweden
SE8902GQAD77323256759071,outgoing,4126.96,Sweden,
SE8902PCFD04141042982858,outgoing,39154.79,Sweden,
SE8902GTZD12314857392944,outgoing,41475.69,,Sweden
SE8902AJSV94182461717656,incoming,4937.98,,Sweden
SE8902VBPS31468933549596,outgoing,38149.86,,Sweden
SE8902XPHQ15953762308017,incoming,35349.9,,Sweden
SE8902YWQH50779746486712,incoming,17342.5,,Sweden
SE8902DGXX88147139459340,outgoing,20320.65,Sweden,
SE8902MLNA56994057710583,incoming,23845.71,,Sweden
SE8902QBPI92232356394837,incoming,38054.3,,Sweden
SE8902AOEI11888157159723,incoming,45738.98,Sweden,
SE8902EJYN15169896233918,incoming,17321.95,,Sweden
SE8902LDPN73303918695424,incoming,6026.92,,Sweden
SE8902OZBM53448690509013,incoming,25666.51,Sweden,
SE8902UWHJ79819805055119,outgoing,44221.21,Sweden,
SE8902KWBD56921885506215,incoming,24478.91,,Sweden
SE8902XARR24637715791113,incoming,5128.5,Sweden,
SE8902MAVP99765805035027,incoming,322.97,Sweden,
SE8902BFKJ67373461094245,outgoing,11544.74,,Sweden
SE8902GREW10972860106946,incoming,27130.04,Sweden,
SE8902EQDP30307774877765,outgoing,2791.43,,Sweden
SE8902EWKS60852595775659,outgoing,28914.15,,Sweden
SE8902UUTG33531545423098,outgoing,31168.35,Sweden,
SE8902VAPD72818464374400,outgoing,31174.48,,Sweden
SE8902XPHQ15953762308017,outgoing,38292.09,Sweden,
SE8902CMWE25531271390672,incoming,23752.23,Sweden,
SE8902THHW31823034276516,incoming,6688.62,,Sweden
SE8902PYVE63223607468293,outgoing,17839.86,Sweden,
SE8902LVSQ11356198112962,outgoing,35793.61,,Sweden
SE8902ZJLO95363862694613,incoming,43304.31,Sweden,Cayman Islands
GB58KVRW29973435097995,outgoing,43050.16,Denmark,Sweden
SE8902OBIX76276487885565,incoming,28697.95,Sweden,Kiribati
SE8902QASC32307460643773,outgoing,6591.68,Sweden,Mauritania
GB76ZEQP19937682233548,incoming,18985.04,Cocos (Keeling) Islands,Sweden
SE8902OGIL87909531470185,outgoing,37645.64,Sweden,Norway
GB70BMLE06853552169855,outgoing,32978.19,Faroe Islands,Sweden
SE8902KIPZ83378012088513,outgoing,7671.69,Sweden,Indonesia
GB05IIVC84129903570662,incoming,21305.93,Germany,Sweden
SE8902TDHG03930597785173,incoming,277.76,Sweden,Norway
GB26XNHQ95651448889359,incoming,39833.97,Finland,Sweden
SE8902LHUA50734331657544,incoming,19252.97,Sweden,Nicaragua
SE8902KJYB05100798381483,incoming,12905.65,Sweden,Suriname
GB45OGTL54245713048506,outgoing,33218.45,Antigua and Barbuda,Sweden
SE8902NPSO51568640255218,incoming,14093.37,Sweden,Japan
GB69OFLU04875943128685,incoming,23318.82,France,Sweden
SE8902GXQE70403294190338,outgoing,46011.59,Sweden,Nicaragua
SE8902UAZW13872369602420,incoming,46362.63,Sweden,Turkey
GB53BWWS98332243534624,incoming,15820.7,Martinique,Sweden
SE8902DBWG37143242474670,outgoing,9751.17,Sweden,Kuwait
GB64PEZT93851780492008,outgoing,34490.24,Saint Pierre and Miquelon,Sweden
GB64HMLI61308271237009,outgoing,27737.07,Saint Kitts and Nevis,Sweden
SE8902XEKA11659742485329,incoming,39512.38,Sweden,Cook Islands
GB81ICLP58308853244089,incoming,36374.17,Ethiopia,Sweden
SE8902LGDS93932200371895,outgoing,3658.52,Sweden,Slovenia
SE8902XIPF48454762305912,incoming,48766.39,Sweden,Germany
SE8902YYDM63526347491057,incoming,38704.81,Sweden,Mauritius
GB44TKRB93197907263188,outgoing,18002.58,Guam,Sweden
GB72NFYT84849154065240,outgoing,38407.91,Brunei Darussalam,Sweden
SE8902SJVO55654185313291,outgoing,9371.88,Sweden,Germany
SE8902LFPB25372838213647,incoming,25645.64,Sweden,Brunei Darussalam
GB41TSFT02750535749514,incoming,21526.33,Armenia,Sweden
SE8902KSPR66432840199154,outgoing,44407.72,Sweden,Burkina Faso
GB55TMAM86306960564143,incoming,45995.18,Spain,Sweden
GB38LBKS55622328846678,incoming,40308.36,Germany,Sweden
SE8902BQOF94784189390061,outgoing,49722.16,Sweden,Nepal
GB08KVOJ17631468770998,incoming,24272.04,Svalbard & Jan Mayen Islands,Sweden
GB03VBEN11180121648290,outgoing,4941.64,Finland,Sweden
SE8902LHWV91263359767569,outgoing,1349.7,Sweden,Finland
SE8902IJBW38904188628765,incoming,5529.07,Sweden,American Samoa
GB58ELUS36742070552141,outgoing,7727.68,Poland,Sweden
SE8902UZBS49516417731818,outgoing,31957.93,Sweden,Nicaragua
GB58QHKV48941982799452,incoming,2387.66,Uganda,Sweden
SE8902YCMC97452355623638,incoming,22778.83,Sweden,Estonia
SE8902LKXQ69920608322446,incoming,5421.38,Sweden,Peru
GB48DKME11069247024636,incoming,3332.89,Cocos (Keeling) Islands,Sweden
SE8902SILE68578227700598,incoming,14016.26,Sweden,Qatar
SE8902JNFW68474844339506,incoming,8662.43,Sweden,Colombia
GB66QFRP92334827022616,outgoing,4213.3,Tanzania,Sweden
SE8902KLCO29429723379486,outgoing,48041.18,Sweden,Suriname
SE8902DORF63489542240166,outgoing,26336.14,Sweden,Antarctica (the territory South of 60 deg S)
SE8902LUTP25647153659821,incoming,7170.54,Sweden,Saint Helena
SE8902ZQQX91042131747326,outgoing,13739.25,Sweden,Mayotte
SE8902MQZJ06643246897705,outgoing,15027.56,Sweden,Albania
GB10QYQS64884463716741,incoming,22833.69,Barbados,Sweden
GB58RGNE08773109585668,incoming,12313.61,Denmark,Sweden
SE8902KJYB05100798381483,incoming,22058.95,Sweden,Holy See (Vatican City State)
GB45NEAH13128897350937,incoming,2318.14,Island,Sweden
GB60UOHC68039338225659,incoming,45094.55,Saint Vincent and the Grenadines,Sweden
GB98OQKS30805491378771,incoming,13363.26,Tonga,Sweden
GB60HHBK16060232084390,outgoing,42655.34,Malaysia,Sweden
GB67GYHP98901953720763,outgoing,28278.79,Solomon Islands,Sweden
SE8902RQNM94686024135916,incoming,35892.45,Sweden,Chad
GB04CSHL60264343996539,outgoing,33609.1,Grenada,Sweden
GB21RFKM84837838096575,incoming,37099.72,Somalia,Sweden
SE8902MAVP99765805035027,outgoing,41607.92,Sweden,Sudan
SE8902EPWK73250364544965,incoming,25385.24,Sweden,Poland
GB30PJGL44736715354937,outgoing,23418.05,Malaysia,Sweden
SE8902YFUG89397049014204,incoming,19536.78,Sweden,Indonesia
SE8902FFCY95333401231837,outgoing,2951.87,Sweden,Germany
GB53BGTZ39793863075913,incoming,22649.23,,Sweden
SE8902VPUM81969837191902,incoming,15246.03,Sweden,Nigeria
GB54LZVD20193596686433,outgoing,38349.64,Guinea-Bissau,Sweden
SE8902CRCW34066239004922,outgoing,34467.88,Sweden,Hungary
SE8902VXBW13958908779060,incoming,46711.09,Sweden,Tajikistan
SE8902LEVI44801863486814,incoming,46345.72,Sweden,Bolivia
SE8902YCCU23582343543594,incoming,36965.93,Sweden,Finland
GB81SLXH39745602804788,incoming,12494.31,Poland,Sweden
GB03OFAZ98243843545247,incoming,45083.39,Azerbaijan,Sweden
GB25VIEV78021592531911,incoming,24732.15,Finland,Sweden
SE8902UTYY22254486734176,outgoing,17045.68,Sweden,Afghanistan
GB57XLJK54860899889594,outgoing,4948.72,Japan,Sweden
GB77UPAK66728823635150,outgoing,22274.21,Portugal,Sweden
GB09EARE23524329172461,outgoing,38786.66,Finland,Sweden
GB61RQXJ61726861179042,incoming,45389.91,Vietnam,Sweden
GB52FLIX67550035208117,incoming,7786.54,Jersey,Sweden
GB84MZRJ50120826352662,outgoing,18300.85,Nepal,Sweden
SE8902ANWR22887008474492,incoming,35387.72,Sweden,Germany
SE8902XVPE12442001326703,incoming,12516.48,,Poland
GB12CGSC32946596171008,outgoing,45880.93,Estonia,Sweden
SE8902YLUL42869164891487,incoming,45249.69,Sweden,Paraguay
GB78NJXT44329039841701,outgoing,49194.49,Poland,Sweden
SE8902GZKU10549826849499,incoming,10486.65,Sweden,Lithuania
SE8902SVNA09488395571575,outgoing,19883.13,Sweden,Jordan
GB50YDZG88526877905552,incoming,49255.22,Russian Federation,Sweden
SE8902LACW59549122762926,incoming,8358.77,Sweden,Estonia
SE8902MZQD36471607948390,outgoing,15731.18,Sweden,Thailand
SE8902CNUK05592418774943,outgoing,2169.42,Sweden,Island
GB45UFSY57086630869148,outgoing,12022.02,Saint Kitts and Nevis,Sweden
SE8902HWWI70855528580462,outgoing,33961.22,Sweden,Central African Republic
