sender_account,amount,sender_country,description,id,timestamp,currency,receiver_account,receiver_country
SE8902ZCTK81497780781136,1174.47,Sweden,Tax refund,1,2025-01-08 03:17:00,SEK,SE8902GGWE97497502378359,Sweden
SE8902DGXX88147139459340,19068.02,Sweden,Salary payment,2,2025-01-02 19:34:00,SEK,SE8902PLBL16144667744762,Sweden
SE8902VMWP60739361675669,7557.86,Sweden,Subscription fee,3,2025-01-12 20:08:00,SEK,SE8902JTIU30473679174736,Sweden
SE8902GHSB29020078073922,14108.32,Sweden,Payment for invoice #1934,4,2025-02-08 06:24:00,SEK,SE8902MQTA07583386361028,Sweden
SE8902NHEC01255630352421,33570.37,Sweden,Unknown,5,2025-03-01 18:51:00,SEK,SE8902HQID54921038055598,Sweden
SE8902PVNM34258841032637,5271.49,Sweden,Rent transfer,6,2025-02-03 09:56:00,SEK,SE8902OFTJ79383582820961,Sweden
SE8902XCIR72675281902466,46955.68,Sweden,Unknown,7,2025-03-21 09:05:00,SEK,SE8902HXLB10149156679316,Sweden
SE8902TJBO76009734317061,24454.37,Sweden,Gift to family member,8,2025-02-04 14:14:00,SEK,SE8902SAUK38756106548184,Sweden
SE8902TVFH53282057943154,22257.90,Sweden,Unknown,9,2025-01-15 08:00:00,SEK,SE8902UJGR36411837401781,Sweden
SE8902RIDV47368265699473,30293.87,Sweden,Reimbursement for travel,10,2025-04-26 23:49:00,SEK,SE8902UGUU35326815762231,Sweden
SE8902IDSK51225196610969,44200.60,Sweden,Unknown,11,2025-01-01 22:36:00,SEK,SE8902MRZJ54641003814611,Sweden
SE8902MPBO87772633723937,10977.56,Unknown,Rent transfer,12,2025-03-08 00:00:00,SEK,SE8902ZJVA11817265425330,Sweden
SE8902RWKL37240797745939,37233.58,Sweden,Unknown,13,2025-03-01 19:36:00,SEK,SE8902LUGA16653984392162,Sweden
SE8902YERF08265652105112,3291.49,Sweden,Insurance payout,14,2025-01-24 23:20:00,SEK,SE8902YWPH88733310983578,Sweden
SE8902EHQT53687871208531,31999.11,Sweden,Reimbursement for travel,15,2025-04-09 05:56:00,SEK,SE8902GORN68994003453353,Sweden
SE8902CRKA97370313824795,32100.33,Sweden,Subscription fee,16,2025-02-02 10:18:00,SEK,SE8902IDSK51225196610969,Sweden
SE8902BUUB70684057188314,15452.26,Sweden,Loan repayment,17,2025-02-26 04:23:00,SEK,SE8902GHSB29020078073922,Sweden
SE8902JTIU30473679174736,23696.98,Sweden,Tax refund,18,2025-03-20 01:11:00,SEK,SE8902MPWG51569045484865,Sweden
SE8902KCJU30225323097413,26012.19,Sweden,Online purchase,19,2025-02-07 14:56:00,SEK,SE8902JPEZ29549435970218,Sweden
SE8902TEZZ10595111121627,10949.49,Sweden,Freelance project payment,20,2025-04-10 20:28:00,SEK,SE8902ZPXA01787857989303,Sweden
SE8902EYGF77551822415743,24531.31,Sweden,Subscription fee,21,2025-03-05 02:23:00,SEK,SE8902ZRRV53604198996393,Sweden
SE8902HLML76292022524770,10503.73,Sweden,Tax refund,22,2025-05-15 03:22:00,SEK,SE8902NIFB25528008124700,Sweden
SE8902QPGW46075376024266,11419.63,Sweden,Salary payment,23,2025-02-11 17:37:00,SEK,SE8902BRZE40142159892187,Sweden
SE8902ZAWM87891339334132,10281.41,Sweden,Subscription fee,24,2025-03-12 13:25:00,SEK,SE8902XARM90172386742244,Sweden
SE8902WNIP57815146708414,19014.27,Sweden,Online purchase,25,2025-04-30 15:54:00,SEK,SE8902AQCO44387324377348,Sweden
SE8902BRZE40142159892187,47229.02,Sweden,Online purchase,26,2025-03-11 02:09:00,SEK,SE8902MKGL15508437601995,Sweden
SE8902AZXE66883467511248,11770.74,Sweden,Loan repayment,27,2025-04-19 16:36:00,SEK,SE8902ZQQX91042131747326,Sweden
SE8902RXQC04091454093931,9247.40,Sweden,Utility bill,28,2025-02-02 07:59:00,SEK,SE8902XJXO24323243710044,Sweden
SE8902WQME16820619653293,16613.91,Sweden,Salary payment,29,2025-01-05 08:44:00,SEK,SE8902IGWD35040860470840,Sweden
SE8902NNNR28386574821422,16072.40,Sweden,Unknown,30,2025-01-30 07:36:00,SEK,SE8902TZSS77431559302602,Sweden
SE8902ORRS48118816092087,5802.90,Sweden,Freelance project payment,31,2025-01-01 22:16:00,SEK,SE8902HAYZ30931717835549,Sweden
SE8902QCOM51159179331018,43452.53,Sweden,Online purchase,32,2025-02-01 14:16:00,SEK,SE8902YHDH95624192716829,Sweden
SE8902WYUG92028275995927,29994.20,Sweden,Payment for invoice #4046,33,2025-03-08 20:58:00,SEK,SE8902KFFK50136015318581,Sweden
SE8902UVRY16194000688254,25437.20,Sweden,Salary payment,34,2025-04-24 11:46:00,SEK,SE8902TSIH97788635751412,Sweden
SE8902QILJ09667839424264,11448.27,Sweden,Unknown,35,2025-04-11 15:55:00,SEK,SE8902WDJE85359881297343,Sweden
SE8902QLYH24628869288269,21622.21,Sweden,Gift to family member,36,2025-03-21 01:18:00,SEK,SE8902YARE38911515845364,Sweden
SE8902KJYB05100798381483,26130.78,Sweden,Unknown,37,2025-04-07 15:00:00,SEK,SE8902XIIY68366812613028,Sweden
SE8902MKFC17006139746737,918.97,Sweden,Consulting fee,38,2025-01-29 12:24:00,SEK,SE8902CODF26383416794081,Sweden
SE8902WRRU80784544437204,15481.41,Sweden,Payment for invoice #7816,39,2025-03-11 11:20:00,SEK,SE8902BRIL75914384755151,Sweden
SE8902FCSV26977507325534,42150.23,Sweden,Rent transfer,40,2025-04-03 19:09:00,SEK,SE8902ZCTK81497780781136,Sweden
SE8902TMVQ62559128130402,31583.40,Sweden,Unknown,41,2025-04-22 02:50:00,SEK,SE8902EMIT82352727650511,Sweden
SE8902WSFB21589079568833,16504.73,Sweden,Consulting fee,42,2025-02-12 02:21:00,SEK,SE8902DPTT93032573974424,Sweden
SE8902OCQK11725418237602,25655.37,Sweden,Unknown,43,2025-02-21 00:38:00,SEK,SE8902FKHJ95461624405436,Sweden
SE8902NMLM36956633220058,30955.77,Unknown,Freelance project payment,44,2025-05-02 06:25:00,SEK,SE8902BWKM27720380863718,Sweden
SE8902VCGO21843909614852,26409.78,Sweden,Loan repayment,45,2025-01-30 20:42:00,SEK,SE8902YXRL88472345282788,Sweden
SE8902NEKM17238713453074,10326.08,Sweden,Unknown,46,2025-01-07 21:24:00,SEK,SE8902VAPD72818464374400,Sweden
SE8902BWKM27720380863718,26546.15,Sweden,Unknown,47,2025-02-02 03:25:00,SEK,SE8902VVUL13283946661384,Sweden
SE8902IWLJ80369151603079,6759.33,Sweden,Online purchase,48,2025-02-23 06:47:00,SEK,SE8902TCCK48879115025867,Sweden
SE8902ASTS23624054451805,30660.01,Sweden,Gift to family member,49,2025-02-28 01:13:00,SEK,SE8902WJJF53894909945600,Sweden
SE8902PQQA91803707968793,42548.52,Sweden,Unknown,50,2025-02-14 20:48:00,SEK,SE8902CYPH60544976843583,Sweden
SE8902IKZC79179007095909,1643.51,Sweden,Reimbursement for travel,51,2025-05-16 09:03:00,SEK,SE8902AAEJ67825986403885,Sweden
SE8902VMHX62709096665480,25494.41,Sweden,Subscription fee,52,2025-01-01 06:24:00,SEK,SE8902GDKU45032945438327,Sweden
SE8902NNNO44225102810397,24717.26,Sweden,Utility bill,53,2025-05-04 03:52:00,SEK,SE8902FEUM16554377486070,Sweden
SE8902ZJVA11817265425330,11069.17,Sweden,Salary payment,54,2025-03-05 21:03:00,SEK,SE8902NUWT16017828621340,Sweden
